date of birth,number of people,Date
"1935_03_27",26,1935-03-27
"1935_03_28",30,1935-03-28
"1935_03_29",31,1935-03-29
"1935_03_30",31,1935-03-30
"1935_03_31",29,1935-03-31
"1935_04_01",56,1935-04-01
"1935_04_02",39,1935-04-02
"1935_04_03",36,1935-04-03
"1935_04_04",73,1935-04-04
"1935_04_05",49,1935-04-05
"1935_04_06",53,1935-04-06
"1935_04_07",55,1935-04-07
"1935_04_08",42,1935-04-08
"1935_04_09",49,1935-04-09
"1935_04_10",41,1935-04-10
"1935_04_11",29,1935-04-11
"1935_04_12",48,1935-04-12
"1935_04_13",31,1935-04-13
"1935_04_14",43,1935-04-14
"1935_04_15",60,1935-04-15
"1935_04_16",41,1935-04-16
"1935_04_17",37,1935-04-17
"1935_04_18",42,1935-04-18
"1935_04_19",40,1935-04-19
"1935_04_20",31,1935-04-20
"1935_04_21",43,1935-04-21
"1935_04_22",37,1935-04-22
"1935_04_23",34,1935-04-23
"1935_04_24",47,1935-04-24
"1935_04_25",40,1935-04-25
"1935_04_26",29,1935-04-26
"1935_04_27",34,1935-04-27
"1935_04_28",40,1935-04-28
"1935_04_29",33,1935-04-29
"1935_04_30",33,1935-04-30
"1935_05_01",58,1935-05-01
"1935_05_02",46,1935-05-02
"1935_05_03",47,1935-05-03
"1935_05_04",37,1935-05-04
"1935_05_05",95,1935-05-05
"1935_05_06",49,1935-05-06
"1935_05_07",43,1935-05-07
"1935_05_08",29,1935-05-08
"1935_05_09",32,1935-05-09
"1935_05_10",50,1935-05-10
"1935_05_11",32,1935-05-11
"1935_05_12",40,1935-05-12
"1935_05_13",30,1935-05-13
"1935_05_14",41,1935-05-14
"1935_05_15",51,1935-05-15
"1935_05_16",40,1935-05-16
"1935_05_17",37,1935-05-17
"1935_05_18",27,1935-05-18
"1935_05_19",35,1935-05-19
"1935_05_20",45,1935-05-20
"1935_05_21",33,1935-05-21
"1935_05_22",43,1935-05-22
"1935_05_23",37,1935-05-23
"1935_05_24",36,1935-05-24
"1935_05_25",60,1935-05-25
"1935_05_26",27,1935-05-26
"1935_05_27",42,1935-05-27
"1935_05_28",29,1935-05-28
"1935_05_29",33,1935-05-29
"1935_05_30",34,1935-05-30
"1935_05_31",31,1935-05-31
"1935_06_01",78,1935-06-01
"1935_06_02",47,1935-06-02
"1935_06_03",42,1935-06-03
"1935_06_04",51,1935-06-04
"1935_06_05",64,1935-06-05
"1935_06_06",92,1935-06-06
"1935_06_07",41,1935-06-07
"1935_06_08",48,1935-06-08
"1935_06_09",58,1935-06-09
"1935_06_10",60,1935-06-10
"1935_06_11",54,1935-06-11
"1935_06_12",62,1935-06-12
"1935_06_13",45,1935-06-13
"1935_06_14",55,1935-06-14
"1935_06_15",57,1935-06-15
"1935_06_16",60,1935-06-16
"1935_06_17",45,1935-06-17
"1935_06_18",37,1935-06-18
"1935_06_19",40,1935-06-19
"1935_06_20",49,1935-06-20
"1935_06_21",43,1935-06-21
"1935_06_22",35,1935-06-22
"1935_06_23",47,1935-06-23
"1935_06_24",27,1935-06-24
"1935_06_25",47,1935-06-25
"1935_06_26",48,1935-06-26
"1935_06_27",42,1935-06-27
"1935_06_28",29,1935-06-28
"1935_06_29",36,1935-06-29
"1935_06_30",43,1935-06-30
"1935_07_01",74,1935-07-01
"1935_07_02",38,1935-07-02
"1935_07_03",48,1935-07-03
"1935_07_04",36,1935-07-04
"1935_07_05",27,1935-07-05
"1935_07_06",34,1935-07-06
"1935_07_07",56,1935-07-07
"1935_07_08",51,1935-07-08
"1935_07_09",37,1935-07-09
"1935_07_10",48,1935-07-10
"1935_07_11",44,1935-07-11
"1935_07_12",59,1935-07-12
"1935_07_13",40,1935-07-13
"1935_07_14",37,1935-07-14
"1935_07_15",49,1935-07-15
"1935_07_16",53,1935-07-16
"1935_07_17",57,1935-07-17
"1935_07_18",40,1935-07-18
"1935_07_19",32,1935-07-19
"1935_07_20",43,1935-07-20
"1935_07_21",46,1935-07-21
"1935_07_22",36,1935-07-22
"1935_07_23",26,1935-07-23
"1935_07_24",40,1935-07-24
"1935_07_25",51,1935-07-25
"1935_07_26",33,1935-07-26
"1935_07_27",47,1935-07-27
"1935_07_28",34,1935-07-28
"1935_07_29",31,1935-07-29
"1935_07_30",27,1935-07-30
"1935_07_31",35,1935-07-31
"1935_08_01",59,1935-08-01
"1935_08_02",36,1935-08-02
"1935_08_03",33,1935-08-03
"1935_08_04",44,1935-08-04
"1935_08_05",46,1935-08-05
"1935_08_06",39,1935-08-06
"1935_08_07",61,1935-08-07
"1935_08_08",72,1935-08-08
"1935_08_09",49,1935-08-09
"1935_08_10",63,1935-08-10
"1935_08_11",35,1935-08-11
"1935_08_12",58,1935-08-12
"1935_08_13",45,1935-08-13
"1935_08_14",49,1935-08-14
"1935_08_15",46,1935-08-15
"1935_08_16",59,1935-08-16
"1935_08_17",37,1935-08-17
"1935_08_18",52,1935-08-18
"1935_08_19",46,1935-08-19
"1935_08_20",50,1935-08-20
"1935_08_21",29,1935-08-21
"1935_08_22",46,1935-08-22
"1935_08_23",35,1935-08-23
"1935_08_24",40,1935-08-24
"1935_08_25",48,1935-08-25
"1935_08_26",37,1935-08-26
"1935_08_27",52,1935-08-27
"1935_08_28",52,1935-08-28
"1935_08_29",40,1935-08-29
"1935_08_30",32,1935-08-30
"1935_08_31",23,1935-08-31
"1935_09_01",47,1935-09-01
"1935_09_02",36,1935-09-02
"1935_09_03",35,1935-09-03
"1935_09_04",42,1935-09-04
"1935_09_05",44,1935-09-05
"1935_09_06",37,1935-09-06
"1935_09_07",57,1935-09-07
"1935_09_08",45,1935-09-08
"1935_09_09",52,1935-09-09
"1935_09_10",50,1935-09-10
"1935_09_11",39,1935-09-11
"1935_09_12",48,1935-09-12
"1935_09_13",42,1935-09-13
"1935_09_14",44,1935-09-14
"1935_09_15",62,1935-09-15
"1935_09_16",46,1935-09-16
"1935_09_17",41,1935-09-17
"1935_09_18",41,1935-09-18
"1935_09_19",27,1935-09-19
"1935_09_20",53,1935-09-20
"1935_09_21",40,1935-09-21
"1935_09_22",44,1935-09-22
"1935_09_23",50,1935-09-23
"1935_09_24",36,1935-09-24
"1935_09_25",55,1935-09-25
"1935_09_26",45,1935-09-26
"1935_09_27",43,1935-09-27
"1935_09_28",49,1935-09-28
"1935_09_29",39,1935-09-29
"1935_09_30",47,1935-09-30
"1935_10_01",46,1935-10-01
"1935_10_02",35,1935-10-02
"1935_10_03",43,1935-10-03
"1935_10_04",42,1935-10-04
"1935_10_05",44,1935-10-05
"1935_10_06",45,1935-10-06
"1935_10_07",31,1935-10-07
"1935_10_08",42,1935-10-08
"1935_10_09",38,1935-10-09
"1935_10_10",115,1935-10-10
"1935_10_11",54,1935-10-11
"1935_10_12",50,1935-10-12
"1935_10_13",39,1935-10-13
"1935_10_14",32,1935-10-14
"1935_10_15",46,1935-10-15
"1935_10_16",51,1935-10-16
"1935_10_17",55,1935-10-17
"1935_10_18",47,1935-10-18
"1935_10_19",24,1935-10-19
"1935_10_20",48,1935-10-20
"1935_10_21",39,1935-10-21
"1935_10_22",30,1935-10-22
"1935_10_23",35,1935-10-23
"1935_10_24",42,1935-10-24
"1935_10_25",50,1935-10-25
"1935_10_26",29,1935-10-26
"1935_10_27",39,1935-10-27
"1935_10_28",39,1935-10-28
"1935_10_29",36,1935-10-29
"1935_10_30",35,1935-10-30
"1935_10_31",22,1935-10-31
"1935_11_01",44,1935-11-01
"1935_11_02",31,1935-11-02
"1935_11_03",40,1935-11-03
"1935_11_04",39,1935-11-04
"1935_11_05",51,1935-11-05
"1935_11_06",46,1935-11-06
"1935_11_07",35,1935-11-07
"1935_11_08",30,1935-11-08
"1935_11_09",34,1935-11-09
"1935_11_10",51,1935-11-10
"1935_11_11",70,1935-11-11
"1935_11_12",52,1935-11-12
"1935_11_13",32,1935-11-13
"1935_11_14",34,1935-11-14
"1935_11_15",48,1935-11-15
"1935_11_16",43,1935-11-16
"1935_11_17",37,1935-11-17
"1935_11_18",44,1935-11-18
"1935_11_19",30,1935-11-19
"1935_11_20",33,1935-11-20
"1935_11_21",35,1935-11-21
"1935_11_22",36,1935-11-22
"1935_11_23",28,1935-11-23
"1935_11_24",26,1935-11-24
"1935_11_25",47,1935-11-25
"1935_11_26",39,1935-11-26
"1935_11_27",41,1935-11-27
"1935_11_28",40,1935-11-28
"1935_11_29",26,1935-11-29
"1935_11_30",39,1935-11-30
"1935_12_01",51,1935-12-01
"1935_12_02",34,1935-12-02
"1935_12_03",40,1935-12-03
"1935_12_04",43,1935-12-04
"1935_12_05",37,1935-12-05
"1935_12_06",52,1935-12-06
"1935_12_07",39,1935-12-07
"1935_12_08",42,1935-12-08
"1935_12_09",35,1935-12-09
"1935_12_10",53,1935-12-10
"1935_12_11",39,1935-12-11
"1935_12_12",67,1935-12-12
"1935_12_13",30,1935-12-13
"1935_12_14",39,1935-12-14
"1935_12_15",38,1935-12-15
"1935_12_16",76,1935-12-16
"1935_12_17",33,1935-12-17
"1935_12_18",39,1935-12-18
"1935_12_19",31,1935-12-19
"1935_12_20",41,1935-12-20
"1935_12_21",23,1935-12-21
"1935_12_22",36,1935-12-22
"1935_12_23",45,1935-12-23
"1935_12_24",55,1935-12-24
"1935_12_25",103,1935-12-25
"1935_12_26",38,1935-12-26
"1935_12_27",33,1935-12-27
"1935_12_28",37,1935-12-28
"1935_12_29",35,1935-12-29
"1935_12_30",27,1935-12-30
"1935_12_31",48,1935-12-31
"1936_01_01",356,1936-01-01
"1936_01_02",80,1936-01-02
"1936_01_03",45,1936-01-03
"1936_01_04",51,1936-01-04
"1936_01_05",60,1936-01-05
"1936_01_06",62,1936-01-06
"1936_01_07",56,1936-01-07
"1936_01_08",49,1936-01-08
"1936_01_09",40,1936-01-09
"1936_01_10",59,1936-01-10
"1936_01_11",38,1936-01-11
"1936_01_12",55,1936-01-12
"1936_01_13",40,1936-01-13
"1936_01_14",46,1936-01-14
"1936_01_15",59,1936-01-15
"1936_01_16",39,1936-01-16
"1936_01_17",47,1936-01-17
"1936_01_18",38,1936-01-18
"1936_01_19",40,1936-01-19
"1936_01_20",55,1936-01-20
"1936_01_21",31,1936-01-21
"1936_01_22",33,1936-01-22
"1936_01_23",34,1936-01-23
"1936_01_24",35,1936-01-24
"1936_01_25",33,1936-01-25
"1936_01_26",43,1936-01-26
"1936_01_27",29,1936-01-27
"1936_01_28",30,1936-01-28
"1936_01_29",32,1936-01-29
"1936_01_30",34,1936-01-30
"1936_01_31",37,1936-01-31
"1936_02_01",65,1936-02-01
"1936_02_02",98,1936-02-02
"1936_02_03",54,1936-02-03
"1936_02_04",59,1936-02-04
"1936_02_05",43,1936-02-05
"1936_02_06",47,1936-02-06
"1936_02_07",63,1936-02-07
"1936_02_08",45,1936-02-08
"1936_02_09",26,1936-02-09
"1936_02_10",63,1936-02-10
"1936_02_11",46,1936-02-11
"1936_02_12",58,1936-02-12
"1936_02_13",40,1936-02-13
"1936_02_14",53,1936-02-14
"1936_02_15",46,1936-02-15
"1936_02_16",45,1936-02-16
"1936_02_17",30,1936-02-17
"1936_02_18",39,1936-02-18
"1936_02_19",45,1936-02-19
"1936_02_20",45,1936-02-20
"1936_02_21",35,1936-02-21
"1936_02_22",55,1936-02-22
"1936_02_23",30,1936-02-23
"1936_02_24",33,1936-02-24
"1936_02_25",30,1936-02-25
"1936_02_26",34,1936-02-26
"1936_02_27",46,1936-02-27
"1936_02_28",46,1936-02-28
"1936_02_29",36,1936-02-29
"1936_03_01",63,1936-03-01
"1936_03_02",58,1936-03-02
"1936_03_03",84,1936-03-03
"1936_03_04",65,1936-03-04
"1936_03_05",43,1936-03-05
"1936_03_06",86,1936-03-06
"1936_03_07",45,1936-03-07
"1936_03_08",51,1936-03-08
"1936_03_09",57,1936-03-09
"1936_03_10",49,1936-03-10
"1936_03_11",49,1936-03-11
"1936_03_12",64,1936-03-12
"1936_03_13",49,1936-03-13
"1936_03_14",33,1936-03-14
"1936_03_15",63,1936-03-15
"1936_03_16",57,1936-03-16
"1936_03_17",44,1936-03-17
"1936_03_18",49,1936-03-18
"1936_03_19",39,1936-03-19
"1936_03_20",49,1936-03-20
"1936_03_21",47,1936-03-21
"1936_03_22",40,1936-03-22
"1936_03_23",41,1936-03-23
"1936_03_24",37,1936-03-24
"1936_03_25",46,1936-03-25
"1936_03_26",43,1936-03-26
"1936_03_27",49,1936-03-27
"1936_03_28",42,1936-03-28
"1936_03_29",26,1936-03-29
"1936_03_30",31,1936-03-30
"1936_03_31",24,1936-03-31
"1936_04_01",71,1936-04-01
"1936_04_02",54,1936-04-02
"1936_04_03",50,1936-04-03
"1936_04_04",80,1936-04-04
"1936_04_05",52,1936-04-05
"1936_04_06",64,1936-04-06
"1936_04_07",54,1936-04-07
"1936_04_08",37,1936-04-08
"1936_04_09",49,1936-04-09
"1936_04_10",62,1936-04-10
"1936_04_11",50,1936-04-11
"1936_04_12",55,1936-04-12
"1936_04_13",44,1936-04-13
"1936_04_14",55,1936-04-14
"1936_04_15",73,1936-04-15
"1936_04_16",52,1936-04-16
"1936_04_17",43,1936-04-17
"1936_04_18",57,1936-04-18
"1936_04_19",39,1936-04-19
"1936_04_20",51,1936-04-20
"1936_04_21",47,1936-04-21
"1936_04_22",31,1936-04-22
"1936_04_23",34,1936-04-23
"1936_04_24",55,1936-04-24
"1936_04_25",45,1936-04-25
"1936_04_26",30,1936-04-26
"1936_04_27",37,1936-04-27
"1936_04_28",43,1936-04-28
"1936_04_29",42,1936-04-29
"1936_04_30",28,1936-04-30
"1936_05_01",66,1936-05-01
"1936_05_02",41,1936-05-02
"1936_05_03",42,1936-05-03
"1936_05_04",44,1936-05-04
"1936_05_05",86,1936-05-05
"1936_05_06",62,1936-05-06
"1936_05_07",50,1936-05-07
"1936_05_08",38,1936-05-08
"1936_05_09",35,1936-05-09
"1936_05_10",46,1936-05-10
"1936_05_11",40,1936-05-11
"1936_05_12",58,1936-05-12
"1936_05_13",34,1936-05-13
"1936_05_14",37,1936-05-14
"1936_05_15",62,1936-05-15
"1936_05_16",44,1936-05-16
"1936_05_17",41,1936-05-17
"1936_05_18",40,1936-05-18
"1936_05_19",39,1936-05-19
"1936_05_20",44,1936-05-20
"1936_05_21",38,1936-05-21
"1936_05_22",42,1936-05-22
"1936_05_23",26,1936-05-23
"1936_05_24",42,1936-05-24
"1936_05_25",44,1936-05-25
"1936_05_26",37,1936-05-26
"1936_05_27",38,1936-05-27
"1936_05_28",38,1936-05-28
"1936_05_29",32,1936-05-29
"1936_05_30",33,1936-05-30
"1936_05_31",25,1936-05-31
"1936_06_01",64,1936-06-01
"1936_06_02",47,1936-06-02
"1936_06_03",69,1936-06-03
"1936_06_04",56,1936-06-04
"1936_06_05",61,1936-06-05
"1936_06_06",173,1936-06-06
"1936_06_07",54,1936-06-07
"1936_06_08",47,1936-06-08
"1936_06_09",53,1936-06-09
"1936_06_10",77,1936-06-10
"1936_06_11",47,1936-06-11
"1936_06_12",59,1936-06-12
"1936_06_13",35,1936-06-13
"1936_06_14",57,1936-06-14
"1936_06_15",63,1936-06-15
"1936_06_16",60,1936-06-16
"1936_06_17",45,1936-06-17
"1936_06_18",47,1936-06-18
"1936_06_19",50,1936-06-19
"1936_06_20",66,1936-06-20
"1936_06_21",54,1936-06-21
"1936_06_22",47,1936-06-22
"1936_06_23",36,1936-06-23
"1936_06_24",45,1936-06-24
"1936_06_25",45,1936-06-25
"1936_06_26",56,1936-06-26
"1936_06_27",38,1936-06-27
"1936_06_28",43,1936-06-28
"1936_06_29",37,1936-06-29
"1936_06_30",37,1936-06-30
"1936_07_01",83,1936-07-01
"1936_07_02",45,1936-07-02
"1936_07_03",51,1936-07-03
"1936_07_04",49,1936-07-04
"1936_07_05",44,1936-07-05
"1936_07_06",70,1936-07-06
"1936_07_07",68,1936-07-07
"1936_07_08",50,1936-07-08
"1936_07_09",40,1936-07-09
"1936_07_10",60,1936-07-10
"1936_07_11",51,1936-07-11
"1936_07_12",51,1936-07-12
"1936_07_13",28,1936-07-13
"1936_07_14",53,1936-07-14
"1936_07_15",71,1936-07-15
"1936_07_16",42,1936-07-16
"1936_07_17",61,1936-07-17
"1936_07_18",34,1936-07-18
"1936_07_19",29,1936-07-19
"1936_07_20",46,1936-07-20
"1936_07_21",43,1936-07-21
"1936_07_22",34,1936-07-22
"1936_07_23",40,1936-07-23
"1936_07_24",40,1936-07-24
"1936_07_25",49,1936-07-25
"1936_07_26",40,1936-07-26
"1936_07_27",56,1936-07-27
"1936_07_28",37,1936-07-28
"1936_07_29",30,1936-07-29
"1936_07_30",44,1936-07-30
"1936_07_31",29,1936-07-31
"1936_08_01",52,1936-08-01
"1936_08_02",52,1936-08-02
"1936_08_03",51,1936-08-03
"1936_08_04",53,1936-08-04
"1936_08_05",49,1936-08-05
"1936_08_06",40,1936-08-06
"1936_08_07",44,1936-08-07
"1936_08_08",79,1936-08-08
"1936_08_09",51,1936-08-09
"1936_08_10",60,1936-08-10
"1936_08_11",49,1936-08-11
"1936_08_12",60,1936-08-12
"1936_08_13",42,1936-08-13
"1936_08_14",42,1936-08-14
"1936_08_15",75,1936-08-15
"1936_08_16",63,1936-08-16
"1936_08_17",49,1936-08-17
"1936_08_18",54,1936-08-18
"1936_08_19",33,1936-08-19
"1936_08_20",41,1936-08-20
"1936_08_21",43,1936-08-21
"1936_08_22",40,1936-08-22
"1936_08_23",28,1936-08-23
"1936_08_24",46,1936-08-24
"1936_08_25",50,1936-08-25
"1936_08_26",43,1936-08-26
"1936_08_27",47,1936-08-27
"1936_08_28",51,1936-08-28
"1936_08_29",45,1936-08-29
"1936_08_30",46,1936-08-30
"1936_08_31",32,1936-08-31
"1936_09_01",47,1936-09-01
"1936_09_02",42,1936-09-02
"1936_09_03",51,1936-09-03
"1936_09_04",50,1936-09-04
"1936_09_05",43,1936-09-05
"1936_09_06",54,1936-09-06
"1936_09_07",30,1936-09-07
"1936_09_08",51,1936-09-08
"1936_09_09",73,1936-09-09
"1936_09_10",59,1936-09-10
"1936_09_11",62,1936-09-11
"1936_09_12",73,1936-09-12
"1936_09_13",52,1936-09-13
"1936_09_14",57,1936-09-14
"1936_09_15",64,1936-09-15
"1936_09_16",48,1936-09-16
"1936_09_17",50,1936-09-17
"1936_09_18",56,1936-09-18
"1936_09_19",54,1936-09-19
"1936_09_20",54,1936-09-20
"1936_09_21",44,1936-09-21
"1936_09_22",55,1936-09-22
"1936_09_23",49,1936-09-23
"1936_09_24",45,1936-09-24
"1936_09_25",37,1936-09-25
"1936_09_26",51,1936-09-26
"1936_09_27",47,1936-09-27
"1936_09_28",47,1936-09-28
"1936_09_29",41,1936-09-29
"1936_09_30",42,1936-09-30
"1936_10_01",55,1936-10-01
"1936_10_02",44,1936-10-02
"1936_10_03",50,1936-10-03
"1936_10_04",56,1936-10-04
"1936_10_05",44,1936-10-05
"1936_10_06",59,1936-10-06
"1936_10_07",42,1936-10-07
"1936_10_08",52,1936-10-08
"1936_10_09",46,1936-10-09
"1936_10_10",127,1936-10-10
"1936_10_11",51,1936-10-11
"1936_10_12",61,1936-10-12
"1936_10_13",34,1936-10-13
"1936_10_14",50,1936-10-14
"1936_10_15",48,1936-10-15
"1936_10_16",45,1936-10-16
"1936_10_17",46,1936-10-17
"1936_10_18",39,1936-10-18
"1936_10_19",46,1936-10-19
"1936_10_20",39,1936-10-20
"1936_10_21",42,1936-10-21
"1936_10_22",47,1936-10-22
"1936_10_23",41,1936-10-23
"1936_10_24",25,1936-10-24
"1936_10_25",49,1936-10-25
"1936_10_26",49,1936-10-26
"1936_10_27",40,1936-10-27
"1936_10_28",40,1936-10-28
"1936_10_29",34,1936-10-29
"1936_10_30",33,1936-10-30
"1936_10_31",33,1936-10-31
"1936_11_01",53,1936-11-01
"1936_11_02",40,1936-11-02
"1936_11_03",31,1936-11-03
"1936_11_04",42,1936-11-04
"1936_11_05",61,1936-11-05
"1936_11_06",41,1936-11-06
"1936_11_07",40,1936-11-07
"1936_11_08",37,1936-11-08
"1936_11_09",47,1936-11-09
"1936_11_10",69,1936-11-10
"1936_11_11",103,1936-11-11
"1936_11_12",48,1936-11-12
"1936_11_13",45,1936-11-13
"1936_11_14",49,1936-11-14
"1936_11_15",56,1936-11-15
"1936_11_16",50,1936-11-16
"1936_11_17",36,1936-11-17
"1936_11_18",33,1936-11-18
"1936_11_19",46,1936-11-19
"1936_11_20",54,1936-11-20
"1936_11_21",49,1936-11-21
"1936_11_22",34,1936-11-22
"1936_11_23",28,1936-11-23
"1936_11_24",32,1936-11-24
"1936_11_25",48,1936-11-25
"1936_11_26",44,1936-11-26
"1936_11_27",47,1936-11-27
"1936_11_28",37,1936-11-28
"1936_11_29",38,1936-11-29
"1936_11_30",34,1936-11-30
"1936_12_01",55,1936-12-01
"1936_12_02",39,1936-12-02
"1936_12_03",43,1936-12-03
"1936_12_04",45,1936-12-04
"1936_12_05",48,1936-12-05
"1936_12_06",51,1936-12-06
"1936_12_07",42,1936-12-07
"1936_12_08",33,1936-12-08
"1936_12_09",40,1936-12-09
"1936_12_10",68,1936-12-10
"1936_12_11",43,1936-12-11
"1936_12_12",82,1936-12-12
"1936_12_13",42,1936-12-13
"1936_12_14",43,1936-12-14
"1936_12_15",55,1936-12-15
"1936_12_16",70,1936-12-16
"1936_12_17",31,1936-12-17
"1936_12_18",40,1936-12-18
"1936_12_19",50,1936-12-19
"1936_12_20",64,1936-12-20
"1936_12_21",32,1936-12-21
"1936_12_22",33,1936-12-22
"1936_12_23",53,1936-12-23
"1936_12_24",62,1936-12-24
"1936_12_25",101,1936-12-25
"1936_12_26",42,1936-12-26
"1936_12_27",34,1936-12-27
"1936_12_28",47,1936-12-28
"1936_12_29",55,1936-12-29
"1936_12_30",35,1936-12-30
"1936_12_31",36,1936-12-31
"1937_01_01",329,1937-01-01
"1937_01_02",63,1937-01-02
"1937_01_03",52,1937-01-03
"1937_01_04",62,1937-01-04
"1937_01_05",45,1937-01-05
"1937_01_06",53,1937-01-06
"1937_01_07",53,1937-01-07
"1937_01_08",53,1937-01-08
"1937_01_09",29,1937-01-09
"1937_01_10",49,1937-01-10
"1937_01_11",45,1937-01-11
"1937_01_12",42,1937-01-12
"1937_01_13",33,1937-01-13
"1937_01_14",44,1937-01-14
"1937_01_15",40,1937-01-15
"1937_01_16",51,1937-01-16
"1937_01_17",55,1937-01-17
"1937_01_18",45,1937-01-18
"1937_01_19",45,1937-01-19
"1937_01_20",44,1937-01-20
"1937_01_21",41,1937-01-21
"1937_01_22",28,1937-01-22
"1937_01_23",31,1937-01-23
"1937_01_24",35,1937-01-24
"1937_01_25",41,1937-01-25
"1937_01_26",44,1937-01-26
"1937_01_27",51,1937-01-27
"1937_01_28",38,1937-01-28
"1937_01_29",27,1937-01-29
"1937_01_30",36,1937-01-30
"1937_01_31",38,1937-01-31
"1937_02_01",58,1937-02-01
"1937_02_02",107,1937-02-02
"1937_02_03",57,1937-02-03
"1937_02_04",59,1937-02-04
"1937_02_05",45,1937-02-05
"1937_02_06",53,1937-02-06
"1937_02_07",48,1937-02-07
"1937_02_08",45,1937-02-08
"1937_02_09",38,1937-02-09
"1937_02_10",59,1937-02-10
"1937_02_11",53,1937-02-11
"1937_02_12",51,1937-02-12
"1937_02_13",44,1937-02-13
"1937_02_14",51,1937-02-14
"1937_02_15",34,1937-02-15
"1937_02_16",45,1937-02-16
"1937_02_17",51,1937-02-17
"1937_02_18",38,1937-02-18
"1937_02_19",28,1937-02-19
"1937_02_20",32,1937-02-20
"1937_02_21",31,1937-02-21
"1937_02_22",31,1937-02-22
"1937_02_23",45,1937-02-23
"1937_02_24",28,1937-02-24
"1937_02_25",50,1937-02-25
"1937_02_26",48,1937-02-26
"1937_02_27",43,1937-02-27
"1937_02_28",57,1937-02-28
"1937_03_01",46,1937-03-01
"1937_03_02",62,1937-03-02
"1937_03_03",88,1937-03-03
"1937_03_04",62,1937-03-04
"1937_03_05",51,1937-03-05
"1937_03_06",45,1937-03-06
"1937_03_07",60,1937-03-07
"1937_03_08",43,1937-03-08
"1937_03_09",55,1937-03-09
"1937_03_10",66,1937-03-10
"1937_03_11",44,1937-03-11
"1937_03_12",52,1937-03-12
"1937_03_13",45,1937-03-13
"1937_03_14",42,1937-03-14
"1937_03_15",53,1937-03-15
"1937_03_16",55,1937-03-16
"1937_03_17",42,1937-03-17
"1937_03_18",44,1937-03-18
"1937_03_19",26,1937-03-19
"1937_03_20",41,1937-03-20
"1937_03_21",44,1937-03-21
"1937_03_22",36,1937-03-22
"1937_03_23",39,1937-03-23
"1937_03_24",42,1937-03-24
"1937_03_25",29,1937-03-25
"1937_03_26",32,1937-03-26
"1937_03_27",56,1937-03-27
"1937_03_28",46,1937-03-28
"1937_03_29",35,1937-03-29
"1937_03_30",41,1937-03-30
"1937_03_31",31,1937-03-31
"1937_04_01",51,1937-04-01
"1937_04_02",47,1937-04-02
"1937_04_03",49,1937-04-03
"1937_04_04",72,1937-04-04
"1937_04_05",55,1937-04-05
"1937_04_06",49,1937-04-06
"1937_04_07",52,1937-04-07
"1937_04_08",45,1937-04-08
"1937_04_09",46,1937-04-09
"1937_04_10",58,1937-04-10
"1937_04_11",46,1937-04-11
"1937_04_12",59,1937-04-12
"1937_04_13",44,1937-04-13
"1937_04_14",51,1937-04-14
"1937_04_15",61,1937-04-15
"1937_04_16",67,1937-04-16
"1937_04_17",30,1937-04-17
"1937_04_18",33,1937-04-18
"1937_04_19",50,1937-04-19
"1937_04_20",59,1937-04-20
"1937_04_21",47,1937-04-21
"1937_04_22",45,1937-04-22
"1937_04_23",25,1937-04-23
"1937_04_24",50,1937-04-24
"1937_04_25",40,1937-04-25
"1937_04_26",50,1937-04-26
"1937_04_27",46,1937-04-27
"1937_04_28",30,1937-04-28
"1937_04_29",42,1937-04-29
"1937_04_30",34,1937-04-30
"1937_05_01",45,1937-05-01
"1937_05_02",64,1937-05-02
"1937_05_03",41,1937-05-03
"1937_05_04",48,1937-05-04
"1937_05_05",79,1937-05-05
"1937_05_06",67,1937-05-06
"1937_05_07",50,1937-05-07
"1937_05_08",39,1937-05-08
"1937_05_09",35,1937-05-09
"1937_05_10",48,1937-05-10
"1937_05_11",52,1937-05-11
"1937_05_12",55,1937-05-12
"1937_05_13",34,1937-05-13
"1937_05_14",38,1937-05-14
"1937_05_15",68,1937-05-15
"1937_05_16",53,1937-05-16
"1937_05_17",42,1937-05-17
"1937_05_18",33,1937-05-18
"1937_05_19",42,1937-05-19
"1937_05_20",38,1937-05-20
"1937_05_21",34,1937-05-21
"1937_05_22",34,1937-05-22
"1937_05_23",35,1937-05-23
"1937_05_24",45,1937-05-24
"1937_05_25",51,1937-05-25
"1937_05_26",35,1937-05-26
"1937_05_27",33,1937-05-27
"1937_05_28",32,1937-05-28
"1937_05_29",35,1937-05-29
"1937_05_30",38,1937-05-30
"1937_05_31",41,1937-05-31
"1937_06_01",70,1937-06-01
"1937_06_02",53,1937-06-02
"1937_06_03",44,1937-06-03
"1937_06_04",57,1937-06-04
"1937_06_05",57,1937-06-05
"1937_06_06",97,1937-06-06
"1937_06_07",54,1937-06-07
"1937_06_08",49,1937-06-08
"1937_06_09",36,1937-06-09
"1937_06_10",63,1937-06-10
"1937_06_11",54,1937-06-11
"1937_06_12",72,1937-06-12
"1937_06_13",50,1937-06-13
"1937_06_14",48,1937-06-14
"1937_06_15",50,1937-06-15
"1937_06_16",55,1937-06-16
"1937_06_17",42,1937-06-17
"1937_06_18",46,1937-06-18
"1937_06_19",39,1937-06-19
"1937_06_20",52,1937-06-20
"1937_06_21",34,1937-06-21
"1937_06_22",56,1937-06-22
"1937_06_23",37,1937-06-23
"1937_06_24",43,1937-06-24
"1937_06_25",42,1937-06-25
